Time(ms),FR_HFE,FL_HFE,HR_HFE,HL_HFE,FR_KFE,FL_KFE,HR_KFE,HL_KFE
11.1,-0.19605731964111328,0.17785333096981049,-0.11718610674142838,-0.008434902876615524,-0.18831832706928253,0.14343146979808807,-0.20898869633674622,0.14365702867507935
11.120000000000001,-0.19737128913402557,0.13239449262619019,-0.118239626288414,-0.05963708087801933,-0.20090074837207794,0.07799207419157028,-0.20984455943107605,0.12672001123428345
11.14,-0.20275026559829712,0.1588645577430725,-0.118998683989048,-0.06455497443675995,-0.2008109986782074,0.11849425733089447,-0.21963991224765778,0.1567022055387497
11.16,-0.20779870450496674,0.18915756046772003,-0.11894498020410538,0.0027996983844786882,-0.2099214494228363,0.12425971776247025,-0.22125765681266785,0.18273542821407318
11.18,-0.20962411165237427,0.20222599804401398,-0.11886809766292572,-0.024072416126728058,-0.20834463834762573,0.13478876650333405,-0.23821498453617096,0.15849773585796356
11.200000000000001,-0.2138318568468094,0.21797575056552887,-0.12103475630283356,-0.061570119112730026,-0.21679669618606567,0.1431034654378891,-0.23552750051021576,0.1177636906504631
11.22,-0.21974192559719086,0.22661302983760834,-0.11972341686487198,-0.016124892979860306,-0.218179389834404,0.16437557339668274,-0.24835482239723206,0.07986743748188019
11.24,-0.22310660779476166,0.23715926706790924,-0.11863819509744644,0.02505563013255596,-0.2226594239473343,0.14692187309265137,-0.2503677010536194,0.06453952938318253
11.26,-0.22743463516235352,0.24724498391151428,-0.11786086857318878,-0.027677452191710472,-0.2252793312072754,0.16472798585891724,-0.2624119222164154,0.04365493357181549
11.28,-0.23355433344841003,0.22958916425704956,-0.11529379338026047,0.033626656979322433,-0.23413129150867462,0.1281445026397705,-0.26039832830429077,0.047395847737789154
11.3,-0.234933003783226,0.14665451645851135,-0.11658923327922821,0.07965260744094849,-0.2401788830757141,0.1432938426733017,-0.26579323410987854,0.051769670099020004
11.32,-0.23962384462356567,0.16823650896549225,-0.11617760360240936,0.06790492683649063,-0.2472861260175705,0.12144168466329575,-0.27373331785202026,0.014766077511012554
11.34,-0.24677106738090515,0.19440728425979614,-0.11358349025249481,0.0035630350466817617,-0.2554667294025421,0.13666348159313202,-0.2811828553676605,0.06383553892374039
11.36,-0.2580900192260742,0.12506963312625885,-0.11706657707691193,0.037661727517843246,-0.2614993453025818,0.16280850768089294,-0.2840896546840668,0.02912554331123829
11.38,-0.25910329818725586,0.12617352604866028,-0.11767014861106873,0.05597298964858055,-0.271489679813385,0.12901616096496582,-0.2952228784561157,0.07336711138486862
11.4,-0.2773519456386566,0.08605102449655533,-0.1139620691537857,0.041896428912878036,-0.2752564549446106,0.11214151233434677,-0.30119460821151733,0.09751982986927032
11.42,-0.27433890104293823,0.11647521704435349,-0.11309316754341125,-0.012004937045276165,-0.2859744429588318,0.15263783931732178,-0.31115418672561646,0.11726643145084381
11.44,-0.2870045304298401,0.09057313203811646,-0.11242329329252243,0.021487388759851456,-0.2932882308959961,0.0841168537735939,-0.3144211769104004,0.10019546002149582
11.46,-0.2968125641345978,0.13539154827594757,-0.11440014839172363,0.003873304696753621,-0.2930152118206024,0.04714345559477806,-0.32303160429000854,0.10558700561523438
11.48,-0.3070622980594635,0.15402047336101532,-0.11537595838308334,0.019467651844024658,-0.30066898465156555,0.021440289914608,-0.33188337087631226,0.11542133241891861
11.5,-0.3117865324020386,0.13383051753044128,-0.11724809557199478,-0.016731519252061844,-0.3133595287799835,0.015300676226615906,-0.3343181610107422,0.14592112600803375
11.52,-0.3164898753166199,0.12009802460670471,-0.12005632370710373,0.005465791095048189,-0.31796640157699585,0.03214824199676514,-0.346856951713562,0.1494734287261963
11.540000000000001,-0.3229217529296875,0.07214461266994476,-0.1190759614109993,-0.0010556328343227506,-0.3086504340171814,-0.01777125708758831,-0.3629878759384155,0.16470776498317719
11.56,-0.33039918541908264,0.09470539540052414,-0.11738546192646027,0.04980695620179176,-0.32523638010025024,-0.06658075749874115,-0.37239253520965576,0.17425011098384857
11.58,-0.34549620747566223,0.08952078968286514,-0.11540339887142181,-0.003644013311713934,-0.3339996933937073,-0.037265632301568985,-0.37585413455963135,0.17293210327625275
11.6,-0.344154417514801,0.05489927902817726,-0.11434398591518402,0.03205276280641556,-0.34895750880241394,0.0019745053723454475,-0.3821140229701996,0.1844555288553238
11.620000000000001,-0.364761084318161,0.00205792672932148,-0.11540913581848145,0.037523504346609116,-0.3494046628475189,-0.04218725115060806,-0.39471518993377686,0.16734865307807922
11.64,-0.36479318141937256,0.051737796515226364,-0.1142604872584343,0.06600575149059296,-0.3618045747280121,-0.04143853113055229,-0.41157352924346924,0.15855379402637482
11.66,-0.3822547495365143,0.0586552619934082,-0.11326363682746887,0.019552916288375854,-0.37389928102493286,0.001458143931813538,-0.41630592942237854,0.12142039090394974
11.68,-0.39084067940711975,0.10296722501516342,-0.11316264420747757,0.04462829604744911,-0.36404919624328613,0.05174872651696205,-0.44863298535346985,0.12875013053417206
11.700000000000001,-0.41291922330856323,0.12376575171947479,-0.10888586938381195,0.0388166680932045,-0.3760160803794861,0.06317964196205139,-0.4532237648963928,0.12126296013593674
11.72,-0.42349231243133545,0.1505163311958313,-0.10731202363967896,-0.005056760273873806,-0.39578011631965637,0.09179695695638657,-0.4606441855430603,0.14307801425457
11.74,-0.43070271611213684,0.16550111770629883,-0.10571074485778809,-0.01308682095259428,-0.41038328409194946,0.09737668931484222,-0.467640221118927,0.15573391318321228
11.76,-0.4318929612636566,0.10063096135854721,-0.1052304282784462,0.013249033130705357,-0.4155619144439697,0.0470874086022377,-0.48602867126464844,0.18175333738327026
11.78,-0.44196659326553345,0.13615019619464874,-0.10506562143564224,0.063911072909832,-0.42890939116477966,0.0034043574705719948,-0.5027782320976257,0.16126957535743713
11.8,-0.4618094563484192,0.08085602521896362,-0.10290918499231339,0.09300059825181961,-0.43765732645988464,0.02116497792303562,-0.5121053457260132,0.15820454061031342
11.82,-0.468079537153244,0.09239260107278824,-0.10362856835126877,0.06523444503545761,-0.4717250466346741,-0.023740144446492195,-0.512669563293457,0.16768012940883636
11.84,-0.4812659025192261,0.1279209554195404,-0.10690905898809433,0.041624512523412704,-0.47073960304260254,-0.037968602031469345,-0.5342277884483337,0.14762800931930542
11.86,-0.4935264587402344,0.14016222953796387,-0.10943164676427841,0.08084729313850403,-0.4898155927658081,-0.07986322790384293,-0.5480092763900757,0.08826044201850891
11.88,-0.5053436756134033,0.1165277361869812,-0.11085567623376846,0.013878371566534042,-0.4968301057815552,-0.02071380615234375,-0.5718621611595154,0.06655476242303848
11.9,-0.5133816003799438,0.053560975939035416,-0.10842333734035492,0.007613880559802055,-0.5252875089645386,0.043847668915987015,-0.5832565426826477,0.010505512356758118
11.92,-0.5247976183891296,0.007561021018773317,-0.10972850769758224,0.004678103141486645,-0.5325497388839722,0.0725618302822113,-0.598936140537262,-0.028509270399808884
11.94,-0.5396373271942139,0.039442289620637894,-0.11187819391489029,-0.007648068014532328,-0.5368871688842773,0.06641203165054321,-0.6199548244476318,-0.02997334487736225
11.96,-0.5523548126220703,0.03964261710643768,-0.11181270331144333,-0.03047536127269268,-0.5563958287239075,0.07677916437387466,-0.6333826780319214,0.002582160523161292
11.98,-0.5781791806221008,0.005978448316454887,-0.11035992205142975,-0.06119632348418236,-0.555009663105011,0.03734388202428818,-0.647114634513855,-0.03534579277038574
12.0,-0.591293215751648,-0.0032280979212373495,-0.11106926947832108,-0.009873301722109318,-0.5742125511169434,-0.0055482774041593075,-0.6659587025642395,-0.010980799794197083
12.02,-0.6236067414283752,-0.03758333623409271,-0.09297535568475723,0.038381174206733704,-0.6312564015388489,-0.0015408223262056708,-0.6556979417800903,-0.03408278152346611
12.040000000000001,-0.5585020184516907,-0.04442685469985008,-0.11405377089977264,0.02134498581290245,-0.5724537968635559,-0.021945206448435783,-0.5907883048057556,0.01765621453523636
12.06,-0.5245165824890137,0.018928542733192444,-0.3022061884403229,-0.026830682530999184,-0.6024122834205627,0.0028084423393011093,-0.5583472847938538,0.032851673662662506
12.08,-0.49541762471199036,0.07026823610067368,-0.33239859342575073,-0.04556094482541084,-0.5701760053634644,-0.009033966809511185,-0.5449486374855042,0.05189936235547066
12.1,-0.4891332685947418,0.08309005200862885,-0.3972910940647125,-0.052641790360212326,-0.5516438484191895,-0.040366508066654205,-0.5247089266777039,0.0028034658171236515
12.120000000000001,-0.4975426495075226,0.053633514791727066,-0.4491361081600189,0.0009459121502004564,-0.5431077480316162,-0.013277683407068253,-0.5359286069869995,0.046043090522289276
12.14,-0.5052762031555176,0.08985895663499832,-0.4931238293647766,0.014391155913472176,-0.5428363680839539,0.008296169340610504,-0.5590250492095947,0.05261336266994476
12.16,-0.5177660584449768,0.07339340448379517,-0.5183947682380676,0.06305843591690063,-0.5551856756210327,-0.026388559490442276,-0.5783683657646179,0.06108030304312706
12.18,-0.5342501997947693,0.05690715089440346,-0.5399523973464966,0.04372581094503403,-0.568886399269104,0.009830557741224766,-0.5962973833084106,0.01465380284935236
12.200000000000001,-0.5438262224197388,0.09170990437269211,-0.5584228038787842,0.09059730172157288,-0.5855090618133545,-0.029651837423443794,-0.6162842512130737,0.04390987381339073
12.22,-0.5579347610473633,0.04588834196329117,-0.5703762769699097,0.10235001891851425,-0.6005120277404785,0.015271719545125961,-0.6317242980003357,0.07220690697431564
12.24,-0.5538948774337769,0.07093463838100433,-0.5982396006584167,0.05111650377511978,-0.6081723570823669,0.062920942902565,-0.6549092531204224,0.04420355334877968
12.26,-0.5774505138397217,0.04939590021967888,-0.562026858329773,0.009516139514744282,-0.6409831643104553,0.0435824990272522,-0.6843254566192627,0.02363850735127926
12.280000000000001,-0.5339464545249939,0.029829971492290497,-0.6056593656539917,0.041204456239938736,-0.6831395626068115,0.03901667892932892,-0.6911537051200867,-0.014593439176678658
12.3,-0.5627805590629578,0.02063746750354767,-0.5983792543411255,0.01622951216995716,-0.6932138204574585,0.057329218834638596,-0.7226681709289551,-0.054481569677591324
